Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.24383752,102.9241023,108.182999,107.9956827,115.2620631,120.2944835,132.5171624,148.9756672,131.9703581,147.1270067,152.3240833,161.6625164,169.3330911,167.7801328,166.0363975,180.8294018,185.2637506,207.3753247,214.7380266,231.2641596,225.3851112,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.6764791,343.9586516,384.4331381,404.9304619,404.6731443,416.3253903,488.1504683,540.430541,622.2766215,675.0823783,739.6797478,764.5331444,780.0961791,810.0486264,865.7042072,934.2404827,1013.936192,1044.491439,1115.26914,1176.8667,1247.596981,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7677244,197.6785257,229.5708486,226.4184772,255.8200646,273.1153404,278.7711421,318.7555553,330.5455439,380.4109263,378.618708,383.4085338,376.4243659,404.4441646,411.1928101,462.5198256,493.6608688,553.9548616,556.1168728,593.4544514,619.3467171,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.4381654,520.2816945,574.1543466,603.6433916,600.3434705,908.8451769,1105.458809,1657.71484,1790.312631,2002.536097,1842.690152,1920.930717,1629.551557,1945.970421,2437.212803,2869.006938,2233.115748,2200.965403,2204.314538,2271.802454,2361.643315,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.5187581,513.5521817,590.4778549,605.2909135,583.1123636,630.5375946,708.9550656,769.6011023,883.2486047,944.699431,1009.073512,1031.946711,960.2576815,956.6847135,883.4716248,912.7442548,1006.945717,1060.851268,1174.768948,1635.297003,2519.253866,,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.1957772,902.0775216,992.6450974,1115.265906,1164.731519,1195.500374,1262.725149,1323.960525,1440.014169,1670.831075,1595.411359,1683.057741,1706.481711,1984.652106,2041.278768,2007.582329,2102.911271,2411.902842,2603.286302,2764.63523,3362.063478,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.532538,2202.470044,2313.785042,2408.121918,2412.309707,2480.020025,2614.397936,2739.917384,2913.229785,3126.174334,3270.427142,3460.205658,3554.487016,3787.444047,4001.362858,4122.419159,4400.40844,4669.893026,4895.444239,5027.201808,5515.85786,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.84347012,29.40100605,30.73272711,36.99504909,36.80596014,37.44510596,49.02865752,52.04151805,58.03844496,60.48907787,60.94368163,75.58083487,68.05778561,67.4210977,68.78464079,70.78382011,56.66565281,51.02763948,54.47806916,50.65776532,52.7380072,,
